disease,symptom_text,description,precaution_1,precaution_2,precaution_3,precaution_4,training_text
Psoriasis,"i have experienced fatigue and a general feeling of malaise i often feel tired and have a lack of energy, even after a good nights sleep","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have experienced fatigue and a general feeling of malaise i often feel tired and have a lack of energy, even after a good nights sleep psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"the rash on my skin has spread to other parts of my body, including my chest and abdomen it is itchy and uncomfortable, and it is often worse at night i am also facing skin peeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the rash on my skin has spread to other parts of my body, including my chest and abdomen it is itchy and uncomfortable, and it is often worse at night i am also facing skin peeling psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,the rash on my skin is worse in the winter months when the air is dry i find that i have to moisturize more frequently and use humidifiers to keep my skin hydrated,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the rash on my skin is worse in the winter months when the air is dry i find that i have to moisturize more frequently and use humidifiers to keep my skin hydrated psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i have experienced difficulty sleeping due to the itching and discomfort caused by the rash there are small dents in my nails, which is really concerning","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have experienced difficulty sleeping due to the itching and discomfort caused by the rash there are small dents in my nails, which is really concerning psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin is prone to infections due to dry, flaky patches i am experiencing a strong pain in my joints the skin on my knees and elbows is starting to peel off","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin is prone to infections due to dry, flaky patches i am experiencing a strong pain in my joints the skin on my knees and elbows is starting to peel off psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i am starting to have rashes on my skin the rash often bleeds when i scratch or rub it moreover, i have noticed small dents in my nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i am starting to have rashes on my skin the rash often bleeds when i scratch or rub it moreover, i have noticed small dents in my nails psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i have noticed that my skin has become more sensitive than it used to be there is a silver like dusting on my skin, especially on my back and elbows","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have noticed that my skin has become more sensitive than it used to be there is a silver like dusting on my skin, especially on my back and elbows psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i am worried about the constant peeling of the skin on my palm, elbow and knee i have developed rashes on my arms, which itch if i touch them all of these are making my life quite discomforting and miserable","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i am worried about the constant peeling of the skin on my palm, elbow and knee i have developed rashes on my arms, which itch if i touch them all of these are making my life quite discomforting and miserable psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"there is strange pain in my joints also, i have noticed strange peeling of skin in different parts of my body i am afraid there is something wrong going on with my body","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"there is strange pain in my joints also, i have noticed strange peeling of skin in different parts of my body i am afraid there is something wrong going on with my body psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my nails have small dents on them even my joints have started to pain severely there is a silver like dusting on my skin, particularly in my back","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my nails have small dents on them even my joints have started to pain severely there is a silver like dusting on my skin, particularly in my back psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"the rashes on my skin are not healing moreover, i have noticed a sudden peeling of the skin, especially the skin on my elbows and knees i am really worried about this","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the rashes on my skin are not healing moreover, i have noticed a sudden peeling of the skin, especially the skin on my elbows and knees i am really worried about this psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"for the past few weeks, ive had a skin rash on my arms, legs, and chest its red and irritating, with dry, scaly spots i have a strange pain in my joints too","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"for the past few weeks, ive had a skin rash on my arms, legs, and chest its red and irritating, with dry, scaly spots i have a strange pain in my joints too psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin is peeling, particularly on my knees, elbows, and scalp this peeling is frequently accompanied by a stinging or burning feeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin is peeling, particularly on my knees, elbows, and scalp this peeling is frequently accompanied by a stinging or burning feeling psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"im having joint discomfort in my fingers, wrists, and knees the pain is frequently aching and throbbing, and it worsens when i move my joints","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"im having joint discomfort in my fingers, wrists, and knees the pain is frequently aching and throbbing, and it worsens when i move my joints psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin has a silvery film, particularly on my back, arms and scalp this dusting is composed of tiny scales that easily peel off when scratched","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin has a silvery film, particularly on my back, arms and scalp this dusting is composed of tiny scales that easily peel off when scratched psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i have red and inflammatory skin around my mouth, nose, and eyes it is frequently irritating and unpleasant recently, it has got very painful","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have red and inflammatory skin around my mouth, nose, and eyes it is frequently irritating and unpleasant recently, it has got very painful psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,my skin is extremely sensitive and quickly irritated by changes in temperature or humidity my nails have developed dents on them i am worried about this sudden change,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin is extremely sensitive and quickly irritated by changes in temperature or humidity my nails have developed dents on them i am worried about this sudden change psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"ive seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back in addition, i have significant joint pain and skin rashes the rash is spreading to different parts of my body","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"ive seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back in addition, i have significant joint pain and skin rashes the rash is spreading to different parts of my body psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my genital skin is red and irritated it is frequently irritating, burning, and unpleasant there are also rashes in various places of the body also, i have a strange pain in my joints","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my genital skin is red and irritated it is frequently irritating, burning, and unpleasant there are also rashes in various places of the body also, i have a strange pain in my joints psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"ive had trouble sleeping because of the itching and pain produced by the rash my nails have little dents, which is really alarming there is a noticeable inflammation in my nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"ive had trouble sleeping because of the itching and pain produced by the rash my nails have little dents, which is really alarming there is a noticeable inflammation in my nails psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"because of dry, flaky areas on my skin, i am prone to infections my joints are in excruciating agony the skin on my knees and elbows is beginning to flake","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"because of dry, flaky areas on my skin, i am prone to infections my joints are in excruciating agony the skin on my knees and elbows is beginning to flake psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin is breaking out in rashes when i scratch or rub the rash, it frequently bleeds in addition, ive observed little dents in my nails there is a noticeable inflammation in my nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin is breaking out in rashes when i scratch or rub the rash, it frequently bleeds in addition, ive observed little dents in my nails there is a noticeable inflammation in my nails psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"ive observed that my skin is more sensitive now than it used to be my skin has a silvery film, especially on my back and elbows","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"ive observed that my skin is more sensitive now than it used to be my skin has a silvery film, especially on my back and elbows psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my palms and soles have grown and developed severe fissures these cracks are unpleasant and frequently bleed also, the skin is starting to peel off","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my palms and soles have grown and developed severe fissures these cracks are unpleasant and frequently bleed also, the skin is starting to peel off psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my nails are starting to have small pits on them i am worried and dont know what is causing it also, my joints pain and there are rashes on my arms and back","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my nails are starting to have small pits on them i am worried and dont know what is causing it also, my joints pain and there are rashes on my arms and back psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"there is a silver like dusting on my skin moreover, the skin on my arms and back are starting to peel off this is strange and really concerning me","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"there is a silver like dusting on my skin moreover, the skin on my arms and back are starting to peel off this is strange and really concerning me psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin rash has extended to other areas of my body, including my chest and belly it is irritating and unpleasant, and it is frequently worst at night im also experiencing skin flaking","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin rash has extended to other areas of my body, including my chest and belly it is irritating and unpleasant, and it is frequently worst at night im also experiencing skin flaking psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
