Disease,Symptom
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches
Fungal infection,skin rash nodal skin eruptions dischromic  patches
Fungal infection,itching nodal skin eruptions dischromic  patches
Fungal infection,itching skin rash dischromic  patches
Fungal infection,itching skin rash nodal skin eruptions
Allergy,continuous sneezing shivering chills watering from eyes
Allergy,shivering chills watering from eyes
Allergy,continuous sneezing chills watering from eyes
Allergy,continuous sneezing shivering watering from eyes
Allergy,continuous sneezing shivering chills
GERD,stomach pain acidity ulcers on tongue vomiting cough chest pain
GERD,stomach pain ulcers on tongue vomiting cough chest pain
GERD,stomach pain acidity vomiting cough chest pain
GERD,stomach pain acidity ulcers on tongue cough chest pain
GERD,stomach pain acidity ulcers on tongue vomiting chest pain
GERD,stomach pain acidity ulcers on tongue vomiting cough
GERD,acidity ulcers on tongue vomiting cough chest pain
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching vomiting nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching vomiting yellowish skin nausea abdominal pain yellowing of eyes
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite yellowing of eyes
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain
Drug Reaction,itching skin rash stomach pain burning micturition spotting  urination
Drug Reaction,itching stomach pain burning micturition spotting  urination
Drug Reaction,itching skin rash burning micturition spotting  urination
Drug Reaction,itching skin rash stomach pain spotting  urination
Drug Reaction,itching skin rash stomach pain burning micturition
Drug Reaction,skin rash stomach pain burning micturition spotting  urination
Peptic ulcer diseae,vomiting loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae,vomiting indigestion abdominal pain passage of gases internal itching
Peptic ulcer diseae,indigestion loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae,vomiting indigestion loss of appetite passage of gases internal itching
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain internal itching
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain passage of gases
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain passage of gases internal itching
AIDS,muscle wasting patches in throat high fever extra marital contacts
AIDS,patches in throat high fever extra marital contacts
AIDS,muscle wasting high fever extra marital contacts
AIDS,muscle wasting patches in throat extra marital contacts
AIDS,muscle wasting patches in throat high fever
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,fatigue restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss restlessness lethargy blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria
Gastroenteritis,vomiting sunken eyes dehydration diarrhoea
Gastroenteritis,sunken eyes dehydration diarrhoea
Gastroenteritis,vomiting dehydration diarrhoea
Gastroenteritis,vomiting sunken eyes diarrhoea
Gastroenteritis,vomiting sunken eyes dehydration
Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
Bronchial Asthma,cough high fever breathlessness family history mucoid sputum
Bronchial Asthma,fatigue high fever breathlessness family history mucoid sputum
Bronchial Asthma,fatigue cough breathlessness family history mucoid sputum
Bronchial Asthma,fatigue cough high fever family history mucoid sputum
Bronchial Asthma,fatigue cough high fever breathlessness mucoid sputum
Bronchial Asthma,fatigue cough high fever breathlessness family history
Hypertension,headache chest pain dizziness loss of balance lack of concentration
Hypertension,chest pain dizziness loss of balance lack of concentration
Hypertension,headache dizziness loss of balance lack of concentration
Hypertension,headache chest pain loss of balance lack of concentration
Hypertension,headache chest pain dizziness lack of concentration
Hypertension,headache chest pain dizziness loss of balance
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine,indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine,acidity headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine,acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine,acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances
Migraine,acidity indigestion headache blurred and distorted vision stiff neck depression irritability visual disturbances
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger depression irritability visual disturbances
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression visual disturbances
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability
Cervical spondylosis,back pain weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis,weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis,back pain neck pain dizziness loss of balance
Cervical spondylosis,back pain weakness in limbs dizziness loss of balance
Cervical spondylosis,back pain weakness in limbs neck pain loss of balance
Cervical spondylosis,back pain weakness in limbs neck pain dizziness
Paralysis (brain hemorrhage),vomiting headache weakness of one body side altered sensorium
Paralysis (brain hemorrhage),headache weakness of one body side altered sensorium
Paralysis (brain hemorrhage),vomiting weakness of one body side altered sensorium
Paralysis (brain hemorrhage),vomiting headache altered sensorium
Paralysis (brain hemorrhage),vomiting headache weakness of one body side
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain
Jaundice,vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain
Jaundice,itching fatigue weight loss high fever yellowish skin dark urine abdominal pain
Jaundice,itching vomiting weight loss high fever yellowish skin dark urine abdominal pain
Jaundice,itching vomiting fatigue high fever yellowish skin dark urine abdominal pain
Jaundice,itching vomiting fatigue weight loss yellowish skin dark urine abdominal pain
Jaundice,itching vomiting fatigue weight loss high fever dark urine abdominal pain
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin abdominal pain
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin dark urine
Malaria,chills vomiting high fever sweating headache nausea muscle pain
Malaria,chills vomiting high fever sweating headache nausea diarrhoea muscle pain
Malaria,vomiting high fever sweating headache nausea diarrhoea muscle pain
Malaria,chills high fever sweating headache nausea diarrhoea muscle pain
Malaria,chills vomiting sweating headache nausea diarrhoea muscle pain
Malaria,chills vomiting high fever headache nausea diarrhoea muscle pain
Malaria,chills vomiting high fever sweating nausea diarrhoea muscle pain
Malaria,chills vomiting high fever sweating headache diarrhoea muscle pain
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue lethargy headache loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue lethargy high fever loss of appetite mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite swelled lymph nodes malaise red spots over body
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite mild fever malaise red spots over body
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise red spots over body
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,skin rash joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,skin rash chills joint pain fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,skin rash chills joint pain vomiting high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Dengue,skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body
Typhoid,chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain
Typhoid,chills vomiting fatigue high fever headache constipation abdominal pain diarrhoea toxic look (typhos) belly pain
Typhoid,chills vomiting fatigue high fever headache nausea abdominal pain diarrhoea toxic look (typhos) belly pain
Typhoid,chills vomiting fatigue high fever headache nausea constipation diarrhoea toxic look (typhos) belly pain
Typhoid,chills vomiting fatigue high fever headache nausea constipation abdominal pain toxic look (typhos) belly pain
Typhoid,chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain
Typhoid,chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos)
Typhoid,chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain
Typhoid,chills fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain
hepatitis A,joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting yellowish skin nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain
hepatitis A,joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain mild fever yellowing of eyes muscle pain
Hepatitis B,itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue lethargy dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue lethargy yellowish skin loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue lethargy yellowish skin dark urine loss of appetite yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis B,itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes malaise receiving blood transfusion receiving unsterile injections
Hepatitis C,fatigue yellowish skin nausea loss of appetite family history
Hepatitis C,fatigue yellowish skin nausea loss of appetite yellowing of eyes family history
Hepatitis C,yellowish skin nausea loss of appetite yellowing of eyes family history
Hepatitis C,fatigue nausea loss of appetite yellowing of eyes family history
Hepatitis C,fatigue yellowish skin loss of appetite yellowing of eyes family history
Hepatitis C,fatigue yellowish skin nausea yellowing of eyes family history
Hepatitis C,fatigue yellowish skin nausea loss of appetite yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting fatigue dark urine nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea abdominal pain yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite yellowing of eyes
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain vomiting high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain vomiting fatigue high fever dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload
Alcoholic hepatitis,yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload
Alcoholic hepatitis,vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload
Alcoholic hepatitis,vomiting yellowish skin swelling of stomach distention of abdomen history of alcohol consumption fluid overload
Alcoholic hepatitis,vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach history of alcohol consumption fluid overload
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen fluid overload
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption
Tuberculosis,chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting fatigue cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting fatigue weight loss high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting fatigue weight loss cough breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting fatigue weight loss cough high fever sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Tuberculosis,chills vomiting fatigue weight loss cough high fever breathlessness loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum
Common Cold,continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills fatigue high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills fatigue cough headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills fatigue cough high fever swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills fatigue cough high fever headache malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Common Cold,continuous sneezing chills fatigue cough high fever headache swelled lymph nodes phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain
Pneumonia,chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue cough breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue cough high fever sweating malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue cough high fever breathlessness malaise phlegm chest pain fast heart rate rusty sputum
Pneumonia,chills fatigue cough high fever breathlessness sweating phlegm chest pain fast heart rate rusty sputum
Dimorphic hemmorhoids(piles),constipation pain during bowel movements pain in anal region bloody stool irritation in anus
Dimorphic hemmorhoids(piles),pain during bowel movements pain in anal region bloody stool irritation in anus
Dimorphic hemmorhoids(piles),constipation pain in anal region bloody stool irritation in anus
